Key,en,hi,ar,es,fr
New password & confirm password is not same!,New password & confirm password is not same!,नया पासवर्ड और कन्फर्म पासवर्ड एक समान नहीं है!,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء!,¡Nueva contraseña y confirmación de contraseña no son lo mismo!,Le nouveau mot de passe et la confirmation du mot de passe ne sont pas les mêmes !
Oops! Failed to upload attachment. Please try again.,Oops! Failed to upload attachment. Please try again.,उफ़! अनुलग्नक अपलोड करने में विफल. कृपया पुन: प्रयास करें।,أُووبس! فشل تحميل المرفق. يرجى المحاولة مرة أخرى.,¡Ups! No se pudo cargar el archivo adjunto. Por favor inténtalo de nuevo.,Oups ! Échec du téléchargement de la pièce jointe. Veuillez réessayer.
Support ticket created successfully!,Support ticket created successfully!,समर्थन टिकट सफलतापूर्वक बनाया गया!,تم إنشاء تذكرة الدعم بنجاح!,¡Ticket de soporte creado exitosamente!,Ticket d'assistance créé avec succès !
This support ticket is closed.,This support ticket is closed.,यह समर्थन टिकट बंद है.,تم إغلاق تذكرة الدعم هذه.,Este ticket de soporte está cerrado.,Ce ticket de support est fermé.
Your account is not activated check mail inbox/spam.,Your account is not activated check mail inbox/spam.,"आपका खाता सक्रिय नहीं है, मेल इनबॉक्स/स्पैम जांचें।",لم يتم تنشيط حسابك، تحقق من البريد الوارد/البريد العشوائي.,Tu cuenta no está activada revisa tu bandeja de entrada/spam.,"Votre compte n'est pas activé, vérifiez la boîte de réception/spam."
Email-Address And Password Are Wrong.,Email-Address And Password Are Wrong.,ईमेल-पता और पासवर्ड ग़लत हैं.,عنوان البريد الإلكتروني وكلمة المرور خاطئان.,La dirección de correo electrónico y la contraseña son incorrectas.,L'adresse e-mail et le mot de passe sont erronés.
An Admin Has Replied to your message,An Admin Has Replied to your message,एक व्यवस्थापक ने आपके संदेश का उत्तर दिया है,لقد رد أحد المشرفين على رسالتك,Un administrador ha respondido a su mensaje,Un administrateur a répondu à votre message
Message deleted successfully!,Message deleted successfully!,संदेश सफलतापूर्वक हटा दिया गया!,تم حذف الرسالة بنجاح!,¡Mensaje eliminado exitosamente!,Message supprimé avec succès !
Something went wrong! File is not detected.,Something went wrong! File is not detected.,कुछ गलत हो गया! फ़ाइल का पता नहीं चला.,حدث خطأ ما! لم يتم الكشف عن الملف.,¡Algo salió mal! El archivo no se detecta.,Quelque chose s'est mal passé ! Le fichier n'est pas détecté.
File Deleted Successfully!,File Deleted Successfully!,फ़ाइल सफलतापूर्वक हटा दी गई!,تم حذف الملف بنجاح!,¡Archivo eliminado exitosamente!,Fichier supprimé avec succès !
Announcement Edit,Announcement Edit,घोषणा संपादित करें,تحرير الإعلان,Anuncio Editar,Annonce Modifier
Deactive,Deactive,अक्रिय,غير نشط,Desactivado,Désactivé
appLAppName,App Name,ऐप का नाम,اسم التطبيق,Nombre de la aplicación,Nom de l'application
appLAppVersion,1,1,1,1,1
appLPleaseFillOutTheField,Please Fill Out The Field,कृपया फ़ील्ड भरें,يرجى ملء الحقل,Por favor complete el campo,Veuillez remplir le champ
appLSignIn,Sign In,दाखिल करना,تسجيل الدخول,Iniciar sesión,Se connecter
appLSignUp,Sign Up,साइन अप करें,اشتراك,Inscribirse,S'inscrire
appLSignOutMsg,Do you want to Sign Out from Rentify?,क्या आप रेंटिफ़ाई से साइन आउट करना चाहते हैं?,هل تريد تسجيل الخروج من Rentify؟,¿Quieres cerrar sesión en Rentify?,Voulez-vous vous déconnecter de Rentify ?
appLAccepted,Accepted,स्वीकृत,مقبول,Aceptado,Accepté
appLNoNotificationFound,No Notification Found!,कोई सूचना नहीं मिली!,لم يتم العثور على أي إشعار!,¡No se encontró ninguna notificación!,Aucune notification trouvée !
appLNoDataFound,No Data Found!,डाटा प्राप्त नहीं हुआ!,لم يتم العثور على بيانات!,¡No se encontraron datos!,Aucune donnée trouvée !
appLSelectArea,Select Area,क्षेत्र का चयन करें,حدد المنطقة,Seleccionar área,Sélectionnez une zone
appLYearsExperience,Years Experience,वर्षों का अनुभव,سنوات الخبرة,Años de experiencia,Années d'expérience
appLSelectType,Select Type,प्रकार चुनें,حدد النوع,Seleccionar tipo,Sélectionnez le type
appLClearAll,Clear all,सभी साफ करें,مسح الكل,Borrar todo,Tout effacer
appLGuestUser,Guest User,अतिथि उपयोगकर्ता,مستخدم ضيف,Usuario invitado,Utilisateur invité
appLCancel,Cancel,रद्द करना,يلغي,Cancelar,Annuler
appLTotalSeat,Total Seat,कुल सीट,إجمالي المقعد,Asiento total,Siège total
appLPerKm,Per/KM,प्रति/किमी,لكل/كم,Por/KM,Par/KM
appLEnterPassword,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Ingrese la contraseña,Entrez le mot de passe
appLAlreadyHaveAnAccount,Already Have An Account,क्या आपके पास पहले से एक खाता मौजूद है,لديك حساب بالفعل,Ya tienes una cuenta,Vous avez déjà un compte
appLOtpVerification,OTP Verification,ओटीपी सत्यापन,التحقق من OTP,Verificación OTP,Vérification OTP
appLPleaseAgree,Please agree with the Terms & Condition,कृपया नियम एवं शर्तों से सहमत हों,يرجى الموافقة على الشروط والأحكام,Por favor acepta los Términos y condiciones,Veuillez accepter les termes et conditions
appLArea,Area,क्षेत्र,منطقة,Área,Zone
appLBookingVerification,Booking Verification,बुकिंग सत्यापन,التحقق من الحجز,Verificación de reserva,Vérification de la réservation
appLUpdateProfile,Update Profile,प्रोफ़ाइल अपडेट करें,تحديث الملف الشخصي,Actualizar perfil,Mettre à jour le profil
appLType,Type,प्रकार,يكتب,Tipo,Taper
appLRegisterNow,Register Now,अभी पंजीकरण करें,سجل الآن,Regístrese ahora,Inscrivez-vous maintenant
appLUserNameOrEmailAddress,Username Or Email Address,उपयोगकर्ता का नाम या ईमेल पता,اسم المستخدم أو عنوان البريد الإلكتروني,Nombre de usuario o dirección de correo electrónico,Nom d'utilisateur ou adresse e-mail
appLPassword,Password,पासवर्ड,كلمة المرور,Contraseña,Mot de passe
appLRememberMe,Remember Me,मुझे याद करो,تذكرنى,Acuérdate de mí,Souviens-toi de moi
appLOkay,Okay,ठीक है,تمام,Bueno,D'accord
appLEnterPhoneNumber,Enter Phone Number,फ़ोन नंबर दर्ज करें,أدخل رقم الهاتف,Ingrese el número de teléfono,Entrez le numéro de téléphone
appLContact,Contact,संपर्क,اتصال,Contacto,Contact
appLLanguage,Language,भाषा,لغة,Idioma,Langue
appLLogOut,Log Out,लॉग आउट,تسجيل الخروج,Finalizar la sesión,Se déconnecter
appLBlog,Blog,ब्लॉग,مدونة,Blog,Blogue
appLClose,Close,बंद करना,يغلق,Cerca,Fermer
appLFilter,Filter,फ़िल्टर,فلتر,Filtrar,Filtre
appLEnterOldPassword,Enter Old Password,पुराना पासवर्ड डालें,أدخل كلمة المرور القديمة,Ingrese la contraseña anterior,Entrez l'ancien mot de passe
appLOldPassword,Old Password,पुराना पासवर्ड,كلمة المرور القديمة,Contraseña anterior,Ancien mot de passe
appLFromGallery,From Gallery,गैलरी से,من المعرض,De la galería,De la galerie
appLFromCamera,From Camera,कैमरे से,من الكاميرا,Desde la cámara,Depuis la caméra
appLYourBookingHas,Your booking has been confirm successfully. Thanks to using Rentify.,आपकी बुकिंग की सफलतापूर्वक पुष्टि हो गई है. रेंटिफ़ाइ का उपयोग करने के लिए धन्यवाद.,لقد تم تأكيد حجزك بنجاح. بفضل استخدام Rentify.,Su reserva ha sido confirmada exitosamente. Gracias por usar Rentify.,Votre réservation a été confirmée avec succès. Merci d'utiliser Rentify.
appLContinueBooking,Continue Booking,बुकिंग जारी रखें,مواصلة الحجز,Continuar reservando,Continuer la réservation
appLRate,Rate,दर,معدل,Tasa,Taux
appLCarNumber,Car Number,कार नंबर,رقم السيارة,Número de coche,Numéro de voiture
appLCarModel,Car Model,कार मॉडल,موديل السيارة,Modelo de coche,Modèle de voiture
appLPickUpDateTime,Pick-up Date & Time,पिक-अप दिनांक और समय,تاريخ ووقت الاستلام,Fecha y hora de recogida,Date et heure de prise en charge
appLBookingPreview,Booking Preview,बुकिंग पूर्वावलोकन,معاينة الحجز,Vista previa de la reserva,Aperçu de la réservation
appLWriteHere,Write Here,यहाँ लिखें,اكتب هنا,Escribe aquí,Écrivez ici
appLNote,Note,टिप्पणी,ملحوظة,Nota,Note
appLSendBookingRequest,Send Booking Request,बुकिंग अनुरोध भेजें,إرسال طلب الحجز,Enviar solicitud de reserva,Envoyer une demande de réservation
appLRoundTrip,Round Trip?,राउंड ट्रिप?,رحلة ذهابا وإيابا؟,¿Ida y vuelta?,Aller-retour ?
appLPickUpDate,Pick-up Date,पिक करने की तिथि,تاريخ الاستلام,Fecha de recogida,Date de prise en charge
appLPickUpTime,Pick-up Time,उठान का समय,وقت الاستلام,Hora de recogida,Heure de prise en charge
appLDateHint,mm/dd/yyyy,मिमी/दिन/वर्ष,مم/ي ي/س س س س,dd/mm/aaaa,mm/jj/aaaa
appLDestination,Destination,गंतव्य,وجهة,Destino,Destination
appLEnterDestination,Enter Destination,गंतव्य दर्ज करें,أدخل الوجهة,Ingrese el destino,Entrez la destination
appLBookingACar,Booking a Car,कार बुक करना,حجز سيارة,Reservar un coche,Réservation d'une voiture
appLRentVehicle,Rent A Vehicle,एक वाहन किराए पर लें,استئجار سيارة,Alquilar un vehículo,Louer un véhicule
appLServices,Services,सेवाएं,خدمات,Servicios,Services
appLEnterPickUpLocation,Enter Pick Up Location,पिक अप स्थान दर्ज करें,أدخل موقع الالتقاط,Ingrese el lugar de recogida,Entrez le lieu de prise en charge
appLBookNow,Book Now,अभी बुक करें,احجز الآن,Reserva ahora,Réservez maintenant
appLPickUpLocation,Pick Up Location,लेने की जगह,موقع الالتقاط,Lugar de recogida,Lieu de prise en charge
appLViewMore,View More,और देखें,عرض المزيد,Ver más,Voir plus
appLHistoryList,History List,इतिहास सूची,قائمة التاريخ,Lista de Historia,Liste historique
appLAnd,&,&,&,&,&
appLSearchHere,Search here,यहां तलाश करो,ابحث هنا,Busca aquí,Rechercher ici
appLPending,Pending,लंबित,قيد الانتظار,Pendiente,En attente
appLExperienceDemo,2 Year Experience,2 वर्ष का अनुभव,خبرة لمدة عامين,Experiencia de 2 años,Expérience de 2 ans
appLYourAccountHas,Your account has been create successfully. Welcome to Rentify.,आपका खाता सफलतापूर्वक बन गया है. रेंटिफाई में आपका स्वागत है।,لقد تم إنشاء حسابك بنجاح. مرحبا بكم في Rentify.,Su cuenta se ha creado correctamente. Bienvenido a Rentify.,Votre compte a été créé avec succès. Bienvenue chez Rentify.
appLEnterName,Enter Name,नाम दर्ज करें,أدخل الاسم,Introduzca el nombre,Entrez le nom
appLAlreadyHaveAn,Already Have An Account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب بالفعل؟,¿Ya tienes una cuenta?,Vous avez déjà un compte ?
appLPrivacyPolicy,Privacy Policy,गोपनीयता नीति,سياسة الخصوصية,política de privacidad,politique de confidentialité
appLTerms,Terms Of Use,उपयोग की शर्तें,شروط الاستخدام,Condiciones de uso,Conditions d'utilisation
appLIAgreedWith,I have agreed with,मैं इससे सहमत हूं,لقد اتفقت مع,he estado de acuerdo con,je suis d'accord avec
appLWelcomeSignUp,Register for an Account Today,एक खाता के लिए आज ही पंजीकरण करें,سجل للحصول على حساب اليوم,Regístrese para obtener una cuenta hoy,Créez un compte aujourd'hui
appLWelcomeSignUpMsg,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","आज ही एक खाते के लिए पंजीकरण करके हमारे समुदाय का हिस्सा बनें। अपनी आवश्यकताओं को पूरा करने के लिए तैयार किए गए अनेक लाभों और सुविधाओं का आनंद लें। हमारा पंजीकरण पृष्ठ एक सहज और उपयोगकर्ता-अनुकूल अनुभव प्रदान करते हुए, आपका खाता बनाना आसान बनाता है।",كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك. تسهل صفحة التسجيل الخاصة بنا إنشاء حسابك، مما يوفر تجربة سلسة وسهلة الاستخدام.,"Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, brindando una experiencia fluida y fácil de usar.","Devenez membre de notre communauté en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins. Notre page d'inscription facilite la création de votre compte, offrant une expérience transparente et conviviale."
appLYourPasswordHas,"Your password has been reset successfully, Login now again. Thanks to use Rentify.","आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब दोबारा लॉगिन करें। रेंटिफ़ाई का उपयोग करने के लिए धन्यवाद।",تم إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول الآن مرة أخرى. شكرا لاستخدام Rentify.,Su contraseña se ha restablecido correctamente. Inicie sesión ahora nuevamente. Gracias por usar Rentify.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau. Merci d'utiliser Rentify."
appLCongratulations,Congratulations,बधाई हो,تهانينا,Felicidades,Félicitations
appLForgotPassword,Forgot Password,पासवर्ड भूल गए,هل نسيت كلمة السر,Has olvidado tu contraseña,Mot de passe oublié
appLResetYourForgetPassword,Reset Your Forgotten Password,अपना भूला हुआ पासवर्ड रीसेट करें,إعادة تعيين كلمة المرور المنسية,Restablecer su contraseña olvidada,Réinitialisez votre mot de passe oublié
appLSignInMsg,Log in and Stay Connected,लॉग इन करें और जुड़े रहें,تسجيل الدخول والبقاء على اتصال,Inicie sesión y manténgase conectado,Connectez-vous et restez connecté
appLSignUpMsg,Register for an Account Today,एक खाता के लिए आज ही पंजीकरण करें,سجل للحصول على حساب اليوم,Regístrese para obtener una cuenta hoy,Créez un compte aujourd'hui
appLForgetPassword,Forget Password,पासवर्ड भूल गए,نسيت كلمة المرور,Olvidar Contraseña,Mot de passe oublié
appLGetStarted,Get Started,शुरू हो जाओ,ابدأ,Empezar,Commencer
appLEnterConfirmPassword,Enter Confirm Password,पासवर्ड की पुष्टि करें दर्ज करें,أدخل تأكيد كلمة المرور,Ingrese Confirmar Contraseña,Entrez Confirmer le mot de passe
appLEnterNewPassword,Enter New Password,नया पासवर्ड दर्ज करें,أدخل كلمة المرور الجديدة,Ingrese una nueva contraseña,Entrez un nouveau mot de passe
appLEnterTheOtpVerification,We sent a 6-digit code to your email,हमने आपके ईमेल पर 6 अंकों का कोड भेजा है,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني,Le enviamos un código de 6 dígitos a su correo electrónico,Nous avons envoyé un code à 6 chiffres à votre email
appLPleaseEnterTheCode,Please enter the code,कृपया कोड दर्ज करें,الرجاء إدخال الرمز,Por favor ingresa el código,Veuillez entrer le code
appLForgetPasswordMsg,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,अपना पासवर्ड रीसेट करके अपने खाते पर नियंत्रण रखें। हमारा पासवर्ड पुनर्प्राप्ति पृष्ठ आपका पासवर्ड सुरक्षित रूप से रीसेट करने के लिए आवश्यक चरणों में आपका मार्गदर्शन करता है।,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLEnterEmailAddress,Enter Email Address,ईमेल पता दर्ज करें,أدخل عنوان البريد الإلكتروني,Ingrese la dirección de correo electrónico,Entrez l'adresse e-mail
appLWelcomeToChange,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.",हमारी सुरक्षित लॉगिन प्रक्रिया आपकी जानकारी की गोपनीयता सुनिश्चित करती है। आज ही लॉग इन करें और किसी भी समय और कहीं भी अपने वित्त से जुड़े रहें।,تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك في أي وقت وفي أي مكان.,"Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.","Notre processus de connexion sécurisé garantit la confidentialité de vos informations. Connectez-vous aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu."
appLEmailAddress,Email Address,मेल पता,عنوان البريد الإلكتروني,Dirección de correo electrónico,Adresse email
appLDoNotHaveAnAccount,Don’t Have An Account?,क्या आपके पास खाता नहीं है?,ليس لديك حساب؟,¿No tienes una cuenta?,Vous n'avez pas de compte ?
appLEnterTheOTPCodeSendTo,Enter The OTP Code Sent to,भेजे गए ओटीपी कोड को दर्ज करें,أدخل رمز OTP المرسل إليه,Ingrese el código OTP enviado a,Entrez le code OTP envoyé à
appLVerifiedCode,Verified Code,सत्यापित कोड,رمز التحقق,Código verificado,Code vérifié
appLSubmit,Submit,जमा करना,يُقدِّم,Entregar,Soumettre
appLResendCode,Resend Code,पुन: कोड भेजे,إعادة إرسال الرمز,Reenviar código,Renvoyer le code
appLEmailVerification,Email Verification,ईमेल सत्यापन,التحقق من البريد الإلكتروني,Verificación de correo electrónico,Vérification par e-mail
appLResend,Resend,पुन: भेजें,إعادة الإرسال,Reenviar,Renvoyer
appLEnterYourPassword,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Ingrese la contraseña,Entrez le mot de passe
appLNewPassword,New Password,नया पासवर्ड,كلمة المرور الجديدة,Nueva contraseña,Nouveau mot de passe
appLConfirmPassword,Confirm Password,पासवर्ड की पुष्टि कीजिये,تأكيد كلمة المرور,confirmar Contraseña,Confirmez le mot de passe
appLEnter,Enter,प्रवेश करना,يدخل,Ingresar,Entrer
appLResetPassword,Reset Password,पासवर्ड रीसेट,إعادة تعيين كلمة المرور,Restablecer contraseña,Réinitialiser le mot de passe
appLCongratulation,Congratulations,बधाई हो,تهانينا,Felicidades,Félicitations
appLCreateAccount,Create Account,खाता बनाएं,إنشاء حساب,Crear una cuenta,Créer un compte
appLFirstName,First Name,पहला नाम,الاسم الأول,Nombre de pila,Prénom
appLLastName,Last Name,उपनाम,اسم العائلة,Apellido,Nom de famille
appLOkey,Okay,ठीक है,تمام,Bueno,D'accord
appLTransfer,TRANSFER,स्थानांतरण,تحويل,TRANSFERIR,TRANSFERT
appLHome,HOME,घर,بيت,HOGAR,MAISON
appLProfile,Profile,प्रोफ़ाइल,حساب تعريفي,Perfil,Profil
appLAddMoney,Add Money,पैसे जोड़ें,أضف المال,Agregar dinero,Ajouter de l'argent
appLMoneyOut,Money Out,धन ले जाना,المال خارج,Salida de dinero,Argent sorti
appLExchange,Exchange,अदला-बदली,تبادل,Intercambio,Échange
appLRequest,Request,अनुरोध,طلب,Pedido,Demande
appLRecentTransaction,Recent Transaction,हालिया लेनदेन,المعاملة الأخيرة,Transacción reciente,Transaction récente
appLNotification,Notification,अधिसूचना,إشعار,Notificación,Notification
appLMyInvoice,My Invoice,मेरा चालान,فاتورتي,mi factura,Ma facture
appLMyVoucher,My Voucher,मेरा वाउचर,قسيمتي,Mi vale,Mon bon
appLTransactionLog,Transaction Log,हस्तांतरण लॉग,سجل المعاملات,Registro de transacciones,Journal des transactions
appLTwoFASecurity,2FA Security,2एफए सुरक्षा,2FA الأمن,Seguridad 2FA,Sécurité 2FA
appLChangePassword,Change Password,पासवर्ड बदलें,تغيير كلمة المرور,Cambiar la contraseña,Changer le mot de passe
appLHelpCenter,Help Center,सहायता केंद्र,مركز المساعدة,Centro de ayuda,Centre d'aide
appLPrivacyAndPolicy,Privacy & Policy,गोपनीयता नीति,سياسة الخصوصية,Política de privacidad,Politique de confidentialité
appLAboutUs,About Us,हमारे बारे में,معلومات عنا,Sobre nosotros,À propos de nous
appLSignOut,Sign Out,साइन आउट,تسجيل الخروج,Desconectar,Se déconnecter
appLAmount,Amount,मात्रा,كمية,Cantidad,Montant
appLPreviewScreen,Preview Screen,पूर्वावलोकन स्क्रीन,شاشة المعاينة,Pantalla de vista previa,Écran d'aperçu
appLExchangeRate,Exchange Rate,विनिमय दर,سعر الصرف,Tipo de cambio,Taux de change
appLTotalFeesAndCharges,Total Fees & Charges,कुल शुल्क एवं शुल्क,إجمالي الرسوم والمصاريف,Tarifas y cargos totales,Total des frais et charges
appLWillGet,Will Get,लाऊंगा,سوف تحصل,obtendrá,obtiendra
appLTotalPayableAmount,Total Payable Amount,कुल देय राशि,إجمالي المبلغ المستحق,Monto total a pagar,Montant total à payer
appLConfirm,Confirm,पुष्टि करना,يتأكد,Confirmar,Confirmer
appLMoneyExchange,Money Exchange,मुद्रा विनिमय,صرف العملات,Cambio de dinero,Échange d'argent
appLFrom,From,से,من,De,Depuis
appLTo,To,को,ل,A,À
appLRequestMoney,Request Money,पैसे का अनुरोध,طلب المال,Solicitar dinero,Demander de l'argent
appLRemarks,Remarks,टिप्पणी,ملاحظات,Observaciones,Remarques
appLOptional,Optional,वैकल्पिक,خياري,Opcional,Facultatif
appLShareRequestMoney,Share Request Money,शेयर अनुरोध धन,مشاركة طلب المال,Compartir Solicitar Dinero,Partager Demander de l'argent
appLShare,Share,शेयर करना,يشارك,Compartir,Partager
appLMoneyTransfer,Money Transfer,मनी ट्रांसफर,تحويل الأموال,Transferencia de dinero,Transfert d'argent
appLAvailableBalance,Available Balance,उपलब्ध शेष राशि,الرصيد المتاح,Saldo disponible,Solde disponible
appLReceiver,Receiver,रिसीवर,المتلقي,Receptor,Récepteur
appLProfileLabel,Profile,प्रोफ़ाइल,حساب تعريفي,Perfil,Profil
appLFullName,Full Name,पूरा नाम,الاسم الكامل,Nombre completo,Nom et prénom
appLCountry,Country,देश,دولة,País,Pays
appLMobileNumber,Mobile Number,मोबाइल नंबर,رقم الهاتف المحمول,Número de teléfono móvil,Numéro de portable
appLState,State,राज्य,ولاية,Estado,État
appLCity,City,शहर,مدينة,Ciudad,Ville
appLZipCode,Zip Code,ज़िप कोड,الرمز البريدي,Código postal,Code postal
appLAddress,Address,पता,عنوان,DIRECCIÓN,Adresse
appLUpdate,Update,अद्यतन,تحديث,Actualizar,Mise à jour
appLPaid,Paid,चुकाया गया,مدفوع,Pagado,Payé
appLSent,Sent,भेजा,مرسل,Enviado,Envoyé
appLUnPaid,UnPaid,अवैतनिक,غير مدفوعة الأجر,No pagado,Non rémunéré
appLInvoiceNumber,Invoice Number,चालान संख्या,رقم الفاتورة,Número de factura,Numéro de facture
appLInvoiceDate,Invoice Date,चालान की तारीख,تاريخ الفاتورة,Fecha de factura,Date de facture
appLCurrency,Currency,मुद्रा,عملة,Divisa,Devise
appLPickGoods,Pick Goods,सामान उठाओ,اختر البضائع,Escoger productos,Choisir des marchandises
appLTrickGoods,Trick Goods,छल का सामान,السلع خدعة,Productos de truco,Marchandises trompeuses
appLTotalBill,Total Bill,कुल बिल,إجمالي الفاتورة,Factura Total,Facture totale
appLCreateInvoice,Create Invoice,चालान बनाएं,إنشاء فاتورة,Crear factura,Créer une facture
appLInvoiceTo,Invoice To,बीजक बनाना,الفاتورة إلى,facturar a,Facturer à
appLBillingAddress,Billing Address,बिलिंग पता,عنوان الفواتير,Dirección de Envio,adresse de facturation
appLNotes,Notes,टिप्पणियाँ,ملحوظات,Notas,Remarques
appLItemDetails,Item Details,आइटम विवरण,تفاصيل السلعة,Detalles del artículo,Détails de l'article
appLClientName,Client Name,ग्राहक नाम,اسم العميل,Nombre del cliente,Nom du client
appLAddNew,Add New,नया जोड़ो,أضف جديد,Agregar nuevo,Ajouter un nouveau
appLItemName,Item Name,आइटम नाम,اسم العنصر,Nombre del artículo,Nom de l'article
appLVoucher,Voucher,वाउचर,قسيمة,Vale,Bon
appLRedeem,Redeem,भुनाना,يسترد,Canjear,Racheter
appLUsed,Used,इस्तेमाल किया गया,مستخدم,Usado,Utilisé
appLNotUsed,Not Used,उपयोग नहीं किया,غير مستخدم,No usado,Non utilisé
appLName,Name,नाम,اسم,Nombre,Nom
appLEmail,Email,ईमेल,بريد إلكتروني,Correo electrónico,E-mail
appLPhone,Phone,फ़ोन,هاتف,Teléfono,Téléphone
appLFeesAndCharge,Fees & Charge,फीस एवं शुल्क,الرسوم والتكاليف,Tarifas y cargos,Frais et charges
appLStatus,Status,स्थिति,حالة,Estado,Statut
appLCode,Code,कोड,شفرة,Código,Code
appLCreateVoucher,Create Voucher,वाउचर बनाएं,إنشاء قسيمة,Crear cupón,Créer un bon
appLConfirmRedeem,Confirm Redeem,रिडीम की पुष्टि करें,تأكيد الاسترداد,Confirmar canjear,Confirmer l'échange
appLRedeemCode,Redeem Code,रीडीम कोड,استرداد الرمز,Canjear código,Utiliser le code
appLAddMoneyLog,Add Money Log,मनी लॉग जोड़ें,إضافة سجل الأموال,Agregar registro de dinero,Ajouter un journal d'argent
appLMoneyOutLog,Money Out Log,मनी आउट लॉग,سجل خروج الأموال,Registro de salida de dinero,Journal des sorties d'argent
appLExchangeLog,Exchange Log,एक्सचेंज लॉग,سجل التبادل,Registro de intercambio,Journal d'échange
appLRequestLog,Request Log,लॉग का अनुरोध करें,سجل الطلب,Registro de solicitudes,Journal des demandes
appLBackToHome,Back To Home,घर वापिस जा रहा हूँ,العودة إلى المنزل,Volver a casa,Retour à la maison
appLEnable2faSecurity,Enable 2FA Security,2एफए सुरक्षा सक्षम करें,تمكين أمان 2FA,Habilitar la seguridad 2FA,Activer la sécurité 2FA
appLSendVerificationCode,Send Verification Code,सत्यापन कोड भेजें,إرسال رمز التحقق,Enviar código de verificación,Envoyer le code de vérification
appLIndividual,Individual,व्यक्ति,فردي,Individual,Individuel
appLBusiness,Business,व्यापार,عمل,Negocio,Entreprise
appLMiddleName,Middle Name,मध्य नाम,الاسم الأوسط,Segundo nombre,Deuxième prénom
appLUserName,Username,उपयोगकर्ता नाम,اسم المستخدم,Nombre de usuario,Nom d'utilisateur
appLPostalCode,Postal Code,डाक कोड,رمز بريدي,Código Postal,Code Postal
appLCompanyName,Company Name,कंपनी का नाम,اسم الشركة,nombre de empresa,Nom de l'entreprise
appLGender,Gender,लिंग,جنس,Género,Genre
appLDateOfBirth,Date of Birth,जन्मतिथि,تاريخ الميلاد,Fecha de nacimiento,Date de naissance
appLNationality,Nationality,राष्ट्रीयता,جنسية,Nacionalidad,Nationalité
appLMyReceipt,My Receipt,मेरी रसीद,إيصالي,mi recibo,Mon reçu
appLTotalExchangedAmount,Total Exchanged Amount,कुल विनिमय राशि,إجمالي المبلغ المتبادل,Monto total intercambiado,Montant total échangé
appLConvertedAmount,Converted Amount,परिवर्तित राशि,المبلغ المحول,Monto convertido,Montant converti
appLRequestedAmount,Requested Amount,अनुरोध राशि,المبلغ المطلوب,Monto solicitado,Montant demandé
Types fetch successfully,Types fetch successfully,प्रकार सफलतापूर्वक प्राप्त हुए,تم جلب الأنواع بنجاح,Los tipos se recuperan correctamente,Les types sont récupérés avec succès
This car is already booked at the selected date.,This car is already booked at the selected date.,यह कार पहले से ही चयनित तिथि पर बुक हो चुकी है।,تم حجز هذه السيارة بالفعل في التاريخ المحدد.,Este coche ya está reservado en la fecha seleccionada.,Cette voiture est déjà réservée à la date sélectionnée.
Booking data stored in the temporary table,Booking data stored in the temporary table,बुकिंग डेटा अस्थायी तालिका में संग्रहीत है,بيانات الحجز المخزنة في الجدول المؤقت,Datos de reserva almacenados en la tabla temporal,Données de réservation stockées dans la table temporaire
